GEOID,total_pop,total_crimes,crime_rate,violent_crimes,violent_rate,property_crimes,property_rate,other_crimes,other_rate,low_population,rate_reliable
42101017202,3681,10668,289812.5509372453,1466,39826.134202662324,1829,49687.58489540885,7373,200298.83183917412,False,True
42101017300,2547,16030,629367.8837848449,1994,78288.18217510797,4227,165959.95288574795,9809,385119.748723989,False,True
42101017400,2570,9419,366498.05447470816,1393,54202.33463035019,1950,75875.48638132296,6076,236420.23346303502,False,True
42101017500,6928,22076,318648.96073903004,3132,45207.85219399538,4072,58775.98152424942,14872,214665.12702078524,False,True
42101017601,4584,32295,704515.7068062827,2888,63001.745200698075,4473,97578.53403141361,24934,543935.427574171,False,True
42101017602,4220,20562,487251.18483412324,1604,38009.47867298578,1724,40853.080568720376,17234,408388.625592417,False,True
42101017701,3515,29625,842816.5007112377,3259,92716.92745376956,3590,102133.71266002844,22776,647965.8605974396,False,True
42101017702,4705,40170,853772.5823591923,3227,68586.609989373,4475,95111.58342189161,32468,690074.3889479277,False,True
42101017800,6408,24799,387000.6242197253,2922,45599.25093632959,4363,68086.76654182271,17514,273314.606741573,False,True
42101017900,6111,12375,202503.68188512517,1417,23187.694321714942,3293,53886.43429880543,7665,125429.55326460481,False,True
42101018001,2358,4613,195631.89143341815,341,14461.407972858353,1762,74724.34266327396,2510,106446.14079728583,False,True
42101018002,6276,6542,104238.36838750797,435,6931.166347992351,2408,38368.38750796686,3699,58938.814531548756,False,True
42101018300,4092,5336,130400.78201368524,344,8406.647116324535,2163,52859.23753665689,2829,69134.89736070382,False,True
42101018400,2377,3911,164535.1283129996,274,11527.135044173328,1359,57172.9070256626,2278,95835.08624316365,False,True
42101018801,3972,10533,265181.2688821752,1327,33408.862034239675,2418,60876.132930513595,6788,170896.27391742196,False,True
42101018802,4884,8923,182698.6076986077,1172,23996.723996723995,1872,38329.23832923833,5879,120372.64537264538,False,True
42101019000,7913,16038,202679.13559964614,1857,23467.711361051435,5184,65512.447870592696,8997,113698.97636800201,False,True
42101019100,8167,15857,194159.42206440552,1550,18978.817191135055,4701,57560.91588098445,9606,117619.68899228603,False,True
42101019200,8652,28986,335020.8044382802,3251,37575.12713823393,4463,51583.448913546,21272,245862.22838650024,False,True
42101019501,4617,13084,283387.48104829976,1541,33376.65150530648,2589,56075.37361923327,8954,193935.45592376002,False,True
42101019502,3955,10889,275322.37673830596,1316,33274.33628318584,2241,56662.45259165613,7332,185385.58786346397,False,True
42101019700,6778,15663,231085.8660371791,2011,29669.519032162876,3339,49262.319268220715,10313,152154.0277367955,False,True
42101019800,6631,13191,198929.27160307646,1924,29015.231488463276,2653,40009.048408988085,8614,129904.99170562509,False,True
42101019900,4811,12332,256329.24547911037,1530,31802.120141342755,2484,51631.67740594471,8318,172895.4479318229,False,True
42101020000,1420,7414,522112.676056338,867,61056.33802816901,3050,214788.7323943662,3497,246267.6056338028,False,True
42101020101,3196,15394,481664.5807259074,1946,60888.61076345432,4926,154130.16270337923,8522,266645.80725907383,False,True
42101020102,3508,12118,345438.9965792474,1601,45638.54047890536,2569,73232.61117445839,7948,226567.84492588372,False,True
42101020200,4529,14918,329388.385957165,1901,41973.945683373815,3824,84433.6498123206,9193,202980.79046147052,False,True
42101020300,3207,17588,548425.3196133458,2480,77330.83879014655,4417,137729.96570003117,10691,333364.51512316806,False,True
42101020400,3127,10629,339910.45730732335,1477,47233.770386952354,2385,76271.18644067796,6767,216405.50047969297,False,True
42101020500,2210,9934,449502.2624434389,1064,48144.7963800905,2528,114389.1402714932,6342,286968.3257918552,False,True
42101020600,1770,2444,138079.09604519774,142,8022.598870056497,1328,75028.24858757062,974,55028.24858757062,False,True
42101020701,4130,4386,106198.54721549638,281,6803.874092009684,1952,47263.92251815981,2153,52130.75060532688,False,True
42101020702,1781,2606,146322.2908478383,124,6962.380685008422,1377,77316.11454239191,1105,62043.79562043796,False,True
42101020800,2432,1604,65953.94736842105,75,3083.8815789473683,850,34950.65789473684,679,27919.407894736843,False,True
42101020900,3058,3127,102256.37671680836,154,5035.971223021583,1368,44735.1209941138,1605,52485.28449967299,False,True
42101021000,5401,7080,131086.8357711535,336,6221.070172190335,3007,55674.87502314387,3737,69190.8905758193,False,True
42101021100,2419,2425,100248.03637866888,152,6283.58825961141,858,35469.20214964861,1415,58495.24596940885,False,True
42101021200,2683,4918,183302.27357435707,257,9578.829668281775,1844,68729.03466269102,2817,104994.40924338427,False,True
42101021300,3319,3625,109219.64447122627,208,6266.947875866224,1367,41187.10454956312,2050,61765.592045796926,False,True
42101021400,3779,5520,146070.38899179676,297,7859.222016406457,2328,61603.59883567081,2895,76607.5681397195,False,True
42101021500,3903,3760,96336.15167819626,145,3715.0909556751217,1563,40046.11837048424,2052,52574.94235203689,False,True
42101021600,2394,2479,103550.54302422724,121,5054.3024227234755,1011,42230.576441102756,1347,56265.66416040101,False,True
42101021700,5943,7184,120881.70957428908,348,5855.62847046946,2559,43059.061080262494,4277,71967.02002355712,False,True
42101021800,5032,2263,44972.17806041335,99,1967.408585055644,993,19733.704292527822,1171,23271.06518282989,False,True
42101021900,1445,1355,93771.62629757787,58,4013.8408304498266,430,29757.78546712803,867,60000.0,False,True
42101022000,1474,952,64586.16010854816,28,1899.5929443690638,354,24016.282225237446,570,38670.28493894166,False,True
42101023100,1286,877,68195.9564541213,12,933.1259720062209,579,45023.328149300156,286,22239.502332814933,False,True
42101023500,1358,680,50073.63770250368,19,1399.116347569956,413,30412.371134020617,248,18262.150220913107,False,True
42101023600,2344,2495,106441.97952218431,171,7295.221843003414,1150,49061.43344709898,1174,50085.324232081904,False,True
42101023700,4669,5366,114928.25016063396,363,7774.684086528165,2274,48704.21931891197,2729,58449.34675519383,False,True
42101023800,4744,6702,141273.18718381113,466,9822.934232715008,2559,53941.821247892076,3677,77508.43170320406,False,True
42101023900,1594,1977,124027.60351317441,114,7151.819322459222,982,61606.0225846926,881,55269.761606022585,False,True
42101024000,3667,7920,215980.36542132535,751,20479.956367602943,3186,86883.01063539679,3983,108617.39841832561,False,True
42101024100,1415,7674,542332.1554770318,696,49187.27915194346,3475,245583.03886925796,3503,247561.8374558304,False,True
42101024200,4077,10135,248589.6492519009,1199,29408.87907775325,2788,68383.61540348295,6148,150797.1547706647,False,True
42101024300,4020,5727,142462.6865671642,558,13880.597014925372,2071,51517.41293532338,3098,77064.67661691541,False,True
42101024400,3453,6945,201129.4526498697,854,24732.116999710397,1556,45062.26469736461,4535,131335.07095279466,False,True
42101024500,4344,14108,324769.7974217311,1575,36256.90607734807,3254,74907.91896869245,9279,213604.97237569062,False,True
42101024600,2722,14613,536847.9059515063,1548,56869.94856722998,3284,120646.58339456283,9781,359331.37398971344,False,True
42101024700,3798,14202,373933.64928909956,1427,37572.4065297525,3608,94997.36703528173,9167,241363.8757240653,False,True
42101024800,2360,6423,272161.0169491525,628,26610.169491525427,1433,60720.338983050846,4362,184830.50847457626,False,True
42101024900,2529,8164,322815.3420324239,949,37524.713325425066,1544,61051.79913009094,5671,224238.82957690785,False,True
42101025200,8502,14440,169842.39002587626,1471,17301.811338508585,3652,42954.59891790167,9317,109585.97976946601,False,True
42101025300,4968,7932,159661.83574879228,799,16082.9307568438,1743,35084.54106280193,5390,108494.36392914654,False,True
42101025400,4410,4355,98752.83446712018,360,8163.265306122448,1443,32721.088435374153,2552,57868.48072562358,False,True
42101025500,2775,3461,124720.72072072071,266,9585.585585585586,1420,51171.17117117117,1775,63963.963963963964,False,True
42101025600,2817,2954,104863.32978345758,187,6638.267660631877,1328,47142.35001774938,1439,51082.71210507632,False,True
42101025700,3997,3089,77282.96222166625,170,4253.189892419315,1573,39354.515886915186,1346,33675.256442331745,False,True
42101025800,1789,1950,108999.44102850754,179,10005.58971492454,640,35774.17551704863,1131,63219.67579653438,False,True
42101025900,4400,5148,117000.0,503,11431.818181818182,1607,36522.72727272727,3038,69045.45454545454,False,True
42101026000,3206,3628,113162.81971303806,333,10386.774797255146,888,27698.066126013728,2407,75077.97878976919,False,True
42101026100,3263,3757,115139.4422310757,391,11982.837879252222,1114,34140.36163040147,2252,69016.24272142201,False,True
42101026200,3792,4064,107172.99578059072,381,10047.468354430379,1066,28111.81434599156,2617,69013.71308016877,False,True
42101026301,3772,3949,104692.47083775185,385,10206.786850477201,906,24019.088016967125,2658,70466.59597030754,False,True
42101026302,4629,9374,202505.94080794987,1001,21624.54093756751,2561,55325.1242168935,5812,125556.27565348888,False,True
42101026400,5728,8838,154294.69273743016,885,15450.418994413409,2107,36784.21787709497,5846,102060.0558659218,False,True
42101026500,5217,7466,143109.06651332183,832,15947.862756373395,1791,34330.07475560667,4843,92831.12900134177,False,True
42101026600,6645,9997,150443.94281414596,1110,16704.28893905192,2854,42949.58615500376,6033,90790.0677200903,False,True
42101026700,7298,10931,149780.76185256234,1303,17854.20663195396,2470,33844.88901068786,7158,98081.66620992053,False,True
42101026800,4408,7299,165585.2994555354,845,19169.691470054444,2510,56941.92377495463,3944,89473.68421052632,False,True
